track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,youtube_likes,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,explicit_track,release_year
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,92.0,84274754.0,1713126.0,18004655.0,22931.0,4818457.0,2669262.0,0,2024
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,92.0,116347040.0,3486739.0,7780028.0,28444.0,6623075.0,1118279.0,1,2024
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,92.0,122599116.0,2228730.0,5022621.0,5639.0,7208651.0,5285340.0,0,2024
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,88.0,77373957.0,3670188.0,4493884.0,7006.0,207179.0,457017.0,1,2024
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,83.0,131148091.0,1392593.0,138529362.0,50982.0,9438601.0,4517131.0,1,2023
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,7,407.2,900158751.0,86.0,308723145.0,4120760.0,65447476.0,57372.0,3224599.0,9990302.0,0,2024
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,8,375.8,675079153.0,92.0,228382568.0,1439495.0,3372428.0,5762.0,3224599.0,6063523.0,1,2024
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,10,330.6,90676573.0,86.0,32735244.0,988682.0,1005626.0,842.0,3679709.0,666302.0,1,2024
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,11,322.1,250080413.0,91.0,32229063.0,550191.0,23155471.0,21172.0,1594605.0,963413.0,1,2024
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,12,320.2,111155129.0,67.0,148269610.0,1257935.0,12735768.5,7832.0,3224599.0,854584.0,1,2024
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,92.0,40022524.0,1307290.0,1354692.0,1219.0,1313357.0,450344.0,0,2024
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,14,308.2,355186436.0,88.0,98081493.0,1456177.0,26252264.0,18364.0,12038034.0,1963314.0,1,2024
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,NLC242100307,15,301.6,297185.0,12.0,6736502312.0,16785489.0,12735768.5,7832.0,3224599.0,3288.0,0,2022
LALA,LALA - Single,Myke Towers,2023-03-22,USWL12300002,16,299.9,925655569.0,79.0,934302031.0,4294166.0,12171026.0,13242.0,871978.0,2765808.0,1,2023
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400.0,89.0,104673836.0,2484083.0,9961769.0,13437.0,377734.0,1210029.0,0,2024
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694.0,87.0,141646818.0,1514837.0,44850379.0,12270.0,3224599.0,6973652.0,1,2023
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,86.0,16038053.0,569377.0,283089.0,162.0,975891.0,257661.0,0,2024
